player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,country
Martínez,Ajax,Defender,720,8,0,1,83.3,Netherlands
Gravenberch,Ajax,Midfielder,703,8,0,1,89.1,Netherlands
Haller,Ajax,Forward,668,8,11,1,82.2,Netherlands
Mazraoui,Ajax,Defender,661,8,0,2,81.5,Netherlands
Tadić,Ajax,Forward,630,7,2,2,78.9,Netherlands
Berghuis,Ajax,Forward,628,8,3,1,79.8,Netherlands
Antony,Ajax,Forward,577,7,2,5,65.1,Netherlands
Blind,Ajax,Defender,572,8,1,1,70.9,Netherlands
J. Timber,Ajax,Midfielder,570,8,0,0,64.9,Netherlands
Álvarez,Ajax,Midfielder,558,7,0,0,73,Netherlands
Pasveer,Ajax,Goalkeeper,540,6,0,0,32.7,Netherlands
Klaassen,Ajax,Midfielder,232,7,1,1,33.6,Netherlands
Neres,Ajax,Forward,203,5,1,0,24,Netherlands
Onana,Ajax,Goalkeeper,180,2,0,0,8.4,Netherlands
Schuurs,Ajax,Defender,146,3,0,1,14.4,Netherlands
Tagliafico,Ajax,Defender,139,3,0,1,16.6,Netherlands
Rensch,Ajax,Defender,71,5,0,0,13.8,Netherlands
Daramy,Ajax,Forward,52,2,0,0,6.4,Netherlands
Taylor,Ajax,Midfielder,38,3,0,0,6.6,Netherlands
Kudus,Ajax,Midfielder,24,2,0,0,3.5,Netherlands
Musso,Atalanta,Goalkeeper,540,6,0,0,32.7,Italy
Freuler,Atalanta,Midfielder,526,6,1,1,71.6,Italy
De Roon,Atalanta,Midfielder,484,6,0,0,62.1,Italy
Zapata,Atalanta,Forward,464,6,3,3,50.1,Italy
Palomino,Atalanta,Defender,450,5,1,1,50.5,Italy
Mæhle,Atalanta,Defender,435,5,0,1,56.4,Italy
Zappacosta,Atalanta,Defender,405,6,0,1,51,Italy
Demiral,Atalanta,Defender,370,6,1,0,42.2,Italy
Tolói,Atalanta,Defender,360,4,0,0,45.2,Italy
Malinovskyi,Atalanta,Midfielder,301,5,1,0,38.5,Italy
Djimsiti,Atalanta,Defender,260,5,0,0,31.5,Italy
Iličić,Atalanta,Midfielder,249,4,1,1,29.3,Italy
Pašalić,Atalanta,Midfielder,220,5,1,1,30,Italy
Pessina,Atalanta,Midfielder,211,4,1,0,29.4,Italy
Koopmeiners,Atalanta,Midfielder,210,5,0,1,28.9,Italy
Muriel,Atalanta,Forward,130,5,1,0,16.9,Italy
